laptop_name,price,brand_name,rating,num_to_rate,shiping,save_prec,touch,display,processor,gpu,hdd,ssd
"Refurbished: Acer Predator 17 X GX-792-7448 17.3"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1080 16 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",1599.0,Acer America,Rating + 4,9,Free Shipping,36%,0,"17.3""",i7,GTX 1080,1 TB HDD,256 GB SSD
"ASUS ZenBook Pro 15 UX550GE-XB71T 15.6-inch UHD 4K Touch Laptop, Intel Core i7-8750HK, 16GB 2133MHz RAM, 512GB PCIe x4 SSD, Windows 10 Professional, Fingerprint, NVIDIA GTX 1050 Ti",2105.0,ASUS,Rating + 4,8,$14.99 Shipping,,1,,i7,GTX 1050,,
"Refurbished: Acer Gaming Laptop Predator 17 G9-793-79V5 Intel Core i7 7th Gen 7700HQ (2.80 GHz) 16 GB Memory 1 TB HDD 256 GB SSD NVIDIA GeForce GTX 1070 17.3"" Windows 10 Home 64-Bit Grade A",1298.0,Acer America,Rating + 3,8,Free Shipping,,0,"17.3""",i7,GTX 1070,1 TB HDD,256 GB SSD
"ASUS FX705GM-NH74 17.3"" IPS Intel Core i7 8th Gen 8750H NVIDIA GeForce GTX 1060 16 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop -- ONLY @ NEWEGG",1199.0,ASUS,Rating + 4,8,Free Shipping,,0,"17.3""",i7,GTX 1060,1 TB HDD,256 GB SSD
"ROG Zephyrus S Thin and Portable (2019) Gaming laptop, 15.6"" 240 Hz G-SYNC FHD IPS, GeForce RTX 2070, i7-9750H, 16 GB DDR4 RAM, 1 TB PCIe Hyper Drive SSD, Per-key RGB, Windows 10 Pro, GX502GW-XB76",2199.0,ASUS,Rating + 4,7,Free Shipping,,0,"15.6""",i7,RTX 2070,,
"Refurbished: Acer Predator Helios 300 PH315-51-78NP 15.6"" 144 Hz IPS Intel Core i7 8th Gen 8750H (2.20 GHz) GeForce GTX 1060 16 GB Memory 256 GB SSD Windows 10 Home 64-bit Gaming Laptop (Manufacturer Recertified)",799.0,Acer America,Rating + 3,7,Free Shipping,60%,0,"15.6""",i7,GTX 1060,,256 GB SSD
"MSI GE Series GE75 Raider-286 17.3"" 144 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce RTX 2070 16 GB Memory 512 GB NVMe SSD Windows 10 Home 64-bit Gaming Laptop",1999.0,MSI,Rating + 3,7,Special Shipping,23%,0,"17.3""",i7,RTX 2070,,512 GB NVMe SSD
"Razer Blade 15 RZ09-02705E76-R3U1 15.6"" 60 Hz Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 128 GB SSD 1 TB HDD Windows 10 Home 64-bit Gaming Laptop",1949.0,RAZER,Rating + 4,7,Free Shipping,,0,"15.6""",R3,GTX 1060,1 TB HDD,128 GB SSD
"MSI GP Series GP63 8RD-048CA Leopard 15.6"" Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1050 Ti 16 GB Memory 128 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",1572.0,MSI,Rating + 4,7,$10.99 Shipping,,0,"15.6""",i7,GTX 1050,1 TB HDD,128 GB SSD
"ASUS UX550VE-DB71T 15.6"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1050 Ti 16 GB Memory 512 GB SSD Touch Screen Windows 10 Home 64-Bit Gaming Laptop",2129.0,ASUS,Rating + 4,7,Free Shipping,,1,"15.6""",i7,GTX 1050,,512 GB SSD
"Refurbished: Lenovo Y50 15.6"" Full HD Gaming Laptop with Quad Core i7-4710HQ 2.50GHz (3.50GHz Turbo), 16GB Memory, 1TB HDD + 8GB SSD, NVIDIA GeForce GTX 860M 4GB, JBL Speakers, Windows 8.1 64-Bit",1399.0,Lenovo,Rating + 4,7,Free Shipping,,0,"15.6""",i7,GTX 860,1TB HDD,8GB SSD
"ASUS ROG Strix SCAR II GL704GM-DH74 17.3"" 144 Hz IPS Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 256 GB PCIe NVMe SSD 1 TB HDD Windows 10 Home 64-bit Gaming Laptop",1699.0,ASUS,Rating + 4,6,Special Shipping,23%,0,"17.3""",i7,GTX 1060,1 TB HDD,
Eluktronics MECH-15 G2Rx Slim & Light NVIDIA GeForce GTX 1660Ti Gaming Laptop with Mechanical RGB Keyboard - Intel i7-9750H CPU 6GB GDDR6 VR Ready GPU 15.6” 144Hz Full HD IPS 512GB NVMe SSD + 16GB RAM,1399.0,Eluktronics,Rating + 5,6,Special Shipping,13%,0,15.6”,i7,GTX 1660,,512GB NVMe SSD
"ASUS ROG GX531GM-DH74 15.6"" 144 Hz Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 512 GB SSD Windows 10 Home 64-bit Gaming Laptop",1499.0,ASUS,Rating + 5,6,$19.10 Shipping,,0,"15.6""",i7,GTX 1060,,512 GB SSD
"ASUS FX505DY-ES51 15.6"" 60 Hz AMD Ryzen 5 3550H (2.10 GHz) AMD Radeon RX 560X 8 GB Memory 256 GB SSD Windows 10 Home 64-bit Gaming Laptop",753.0,ASUS,Rating + 4,6,Free Shipping,,0,"15.6""",,,,256 GB SSD
"MSI GS Series GS65 8RF-074CA Stealth Thin 15.6"" Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1070 16 GB Memory 256 GB NVMe SSD Windows 10 Pro 64-Bit Gaming Laptop",2631.0,MSI,Rating + 4,6,$15.99 Shipping,,0,"15.6""",i7,GTX 1070,,256 GB NVMe SSD
"ASUS ROG Strix Scar Edition 15.6” Gaming Laptop, 8th-Gen 6-Core Intel Core i7-8750H processor (up to 3.9GHz), GTX 1050 Ti 4GB, 120Hz 3ms display, 8GB DDR4, 1TB SSHD",1088.0,ASUS,Rating + 4,6,Free Shipping,,0,15.6”,i7,GTX 1050,,
"ASUS GA502DU-PB73 15.6"" 60 Hz IPS AMD Ryzen 7 2nd Gen 3750H (2.30 GHz) NVIDIA GeForce GTX 1660 Ti 8 GB Memory 512 GB SSD Windows 10 Home 64-bit Gaming Laptop",1229.0,ASUS,Rating + 3,6,$26.95 Shipping,26%,0,"15.6""",,GTX 1660,,512 GB SSD
